"datatype","county","county_average","stations"
"MLY-GRDD-BASE50","Baker",2364,4
"MLY-GRDD-BASE50","Benton",2079,3
"MLY-GRDD-BASE50","Clackamas",1930,7
"MLY-GRDD-BASE50","Clatsop",1365,3
"MLY-GRDD-BASE50","Columbia",1822,4
"MLY-GRDD-BASE50","Coos",1596,5
"MLY-GRDD-BASE50","Crook",1815,2
"MLY-GRDD-BASE50","Curry",1698,4
"MLY-GRDD-BASE50","Deschutes",1439,7
"MLY-GRDD-BASE50","Douglas",2304,10
"MLY-GRDD-BASE50","Gilliam",2568,2
"MLY-GRDD-BASE50","Grant",1991,7
"MLY-GRDD-BASE50","Harney",1924,9
"MLY-GRDD-BASE50","Hood River",1996,2
"MLY-GRDD-BASE50","Jackson",2380,6
"MLY-GRDD-BASE50","Jefferson",1936,5
"MLY-GRDD-BASE50","Josephine",2572,3
"MLY-GRDD-BASE50","Klamath",1179,6
"MLY-GRDD-BASE50","Lake",1776,9
"MLY-GRDD-BASE50","Lane",1995,13
"MLY-GRDD-BASE50","Lincoln",1434,3
"MLY-GRDD-BASE50","Linn",1777,7
"MLY-GRDD-BASE50","Malheur",2509,13
"MLY-GRDD-BASE50","Marion",2081,6
"MLY-GRDD-BASE50","Morrow",2703,2
"MLY-GRDD-BASE50","Multnomah",2537,5
"MLY-GRDD-BASE50","Polk",1731,3
"MLY-GRDD-BASE50","Sherman",2110,1
"MLY-GRDD-BASE50","Tillamook",1460,3
"MLY-GRDD-BASE50","Umatilla",2463,11
"MLY-GRDD-BASE50","Union",2092,4
"MLY-GRDD-BASE50","Wallowa",1657,3
"MLY-GRDD-BASE50","Wasco",2642,2
"MLY-GRDD-BASE50","Washington",2284,3
"MLY-GRDD-BASE50","Wheeler",2188,2
"MLY-GRDD-BASE50","Yamhill",2188,2
